Player,PER
Michael Jordan*,27.91
LeBron James,27.34
Nikola Jokić,27.09
Anthony Davis,26.89
Shaquille O'Neal*,26.43
David Robinson*,26.18
Wilt Chamberlain*,26.16
Bob Pettit*,25.45
Kevin Durant,25.26
Neil Johnston*,24.86
Karl-Anthony Towns,24.75
Chris Paul,24.65
Charles Barkley*,24.63
Kareem Abdul-Jabbar*,24.58
Giannis Antetokounmpo,24.53
James Harden,24.53
Tim Duncan*,24.22
Magic Johnson*,24.11
Karl Malone*,23.90
Stephen Curry,23.83
Hakeem Olajuwon*,23.59
Julius Erving*,23.58
Larry Bird*,23.50
Dwyane Wade,23.48
Kawhi Leonard,23.37
Oscar Robertson*,23.19
Yao Ming*,23.02
Jerry West*,22.91
Kobe Bryant*,22.90
Elgin Baylor*,22.72
Kevin Garnett*,22.66
Russell Westbrook,22.58
Dirk Nowitzki,22.44
Kyrie Irving,22.40
Damian Lillard,22.20
Rudy Gobert,22.14
Tracy McGrady*,22.13
Dolph Schayes*,22.09
DeMarcus Cousins,22.03
Moses Malone*,22.00
Andre Drummond,21.84
John Stockton*,21.83
Amar'e Stoudemire,21.82
Bob Lanier*,21.69
Clyde Lovellette*,21.67
Harry Gallatin*,21.63
Dominique Wilkins*,21.56
Adrian Dantley*,21.51
Artis Gilmore*,21.40
George Gervin*,21.38
Pau Gasol,21.37
Dan Issel*,21.37
Dwight Howard,21.29
Kevin Love,21.26
Alonzo Mourning*,21.24
Blake Griffin,21.22
Jimmy Butler,21.09
Clyde Drexler*,21.07
Rick Barry*,21.04
Patrick Ewing*,21.01
Chris Webber*,20.94
Allen Iverson*,20.92
Enes Freedom,20.75
Jonas Valančiūnas,20.75
John Drew,20.74
Bob McAdoo*,20.73
Kevin Johnson,20.70
LaMarcus Aldridge,20.70
George Yardley*,20.62
Al Jefferson,20.56
Chris Bosh*,20.56
Ed Macauley*,20.53
Elton Brand,20.51
Nikola Vučević,20.48
Manu Ginóbili*,20.22
Marques Johnson,20.11
John Brisker,20.11
Mel Daniels*,20.08
Greg Monroe,20.08
George McGinnis*,20.05
Billy Cunningham*,20.04
Kevin McHale*,20.02
Steve Nash*,19.95
Larry Nance,19.92
David Thompson*,19.91
Connie Hawkins*,19.89
Alex English*,19.87
Bob Cousy*,19.87
Walt Bellamy*,19.86
Larry Foust,19.84
Cliff Hagan*,19.84
Paul Arizin*,19.77
Paul Pierce*,19.73
Terrell Brandon,19.69
Mark Price,19.62
Isaiah Thomas,19.59
John Beasley,19.59
Gilbert Arenas,19.57
Sam Cassell,19.48
Carmelo Anthony,19.48
Michael Redd,19.48
Carlos Boozer,19.46
Paul Westphal*,19.43
Paul George,19.36
Zach Randolph,19.33
Robert Parish*,19.22
Brook Lopez,19.22
John Wall,19.20
Bernard King*,19.18
David Lee,19.13
Bailey Howell*,19.13
Walt Frazier*,19.12
Kemba Walker,19.08
Shawn Kemp,19.08
Walter Davis,19.07
Spencer Haywood*,19.07
Grant Hill*,19.03
Mark Aguirre,19.02
Shareef Abdur-Rahim,19.02
Bill Russell*,18.90
Gary Payton*,18.88
Larry Jones,18.87
Jerry Lucas*,18.86
Brad Daugherty,18.85
DeMar DeRozan,18.85
Chauncey Billups,18.82
Shawn Marion,18.81
World B. Free,18.78
Chris Mullin*,18.78
Derrick Favors,18.77
Zelmo Beaty*,18.75
Stephon Marbury,18.74
Andrei Kirilenko,18.73
Paul Millsap,18.72
Vern Mikkelsen*,18.72
Sam Jones*,18.70
Sidney Moncrief*,18.69
Scottie Pippen*,18.63
Vince Carter,18.63
David West,18.61
Tim Hardaway*,18.61
Willis Reed*,18.57
Ray Allen*,18.56
Al Horford,18.52
Gus Williams,18.51
DeAndre Jordan,18.51
Zydrunas Ilgauskas,18.49
Pete Maravich*,18.38
Kiki Vandeweghe,18.37
Reggie Miller*,18.36
Steve Francis,18.35
Alvan Adams,18.32
Bill Sharman*,18.30
Terry Cummings,18.29
Bradley Beal,18.25
Deron Williams,18.25
Tony Parker,18.24
Derrick Rose,18.23
Donnie Freeman,18.21
Billy Knight,18.17
Bobby Jones*,18.16
Antawn Jamison,18.14
Isiah Thomas*,18.11
Willie Wise,18.08
Marvin Barnes,18.05
Kyle Lowry,18.04
Derrick Coleman,18.01
Calvin Murphy*,18.00
Devin Booker,18.00
Tiny Archibald*,17.99
Marc Gasol,17.99
Rod Strickland,17.98
Red Robbins,17.97
Lou Williams,17.96
Dan Roundfield,17.95
Calvin Natt,17.94
Jason Kidd*,17.91
Jermaine O'Neal,17.89
Corey Maggette,17.88
Tom Heinsohn*,17.88
Rik Smits,17.85
Baron Davis,17.82
Fat Lever,17.82
Donald Sidle,17.82
Jack Twyman*,17.82
Marcus Camby,17.81
Fred Brown,17.75
Ricky Pierce,17.74
James Worthy*,17.73
Elvin Hayes*,17.73
Vlade Divac*,17.72
Julius Randle,17.69
Kevin Martin,17.68
Jeff Hornacek,17.67
Mike Lewis,17.65
Dave Bing*,17.63
CJ McCollum,17.61
Joakim Noah,17.60
Chet Walker*,17.60
Mitch Richmond*,17.59
Mike Conley,17.58
Swen Nater,17.57
Brad Miller,17.55
Bob Verga,17.54
John Havlicek*,17.53
Glenn Robinson,17.50
Josh Smith,17.44
Mack Calvin,17.44
Andre Miller,17.43
Lou Hudson*,17.43
George Thompson,17.40
Bob Netolicky,17.39
Anfernee Hardaway,17.38
Gordon Hayward,17.38
Toni Kukoč*,17.35
Ray Williams,17.32
Jrue Holiday,17.32
Richie Guerin*,17.30
Jack Sikma*,17.29
Randy Denton,17.29
Ty Lawson,17.23
Detlef Schrempf,17.22
Dikembe Mutombo*,17.21
Roger Brown*,17.21
Earl Monroe*,17.20
Antonio McDyess,17.19
Terry Porter,17.18
Zach LaVine,17.14
