Player,TS%
Rudy Gobert,.6708
DeAndre Jordan,.6431
Cedric Maxwell,.6294
Tyson Chandler,.6257
Stephen Curry,.6243
Karl-Anthony Towns,.6236
Artis Gilmore*,.6227
Nikola Jokić,.6219
Dave Twardzik,.6184
James Donaldson,.6177
Adrian Dantley*,.6166
Jonas Valančiūnas,.6162
Kevin Durant,.6159
Reggie Miller*,.6139
Charles Barkley*,.6120
James Harden,.6096
Magic Johnson*,.6095
John Stockton*,.6080
Bobby Jones*,.6070
Brent Barry,.6066
Darryl Dawkins,.6048
Kevin McHale*,.6045
Steve Nash*,.6045
Giannis Antetokounmpo,.6045
Amir Johnson,.6024
Dwight Howard,.6023
Kyle Korver,.6020
J.J. Redick,.6019
Hassan Whiteside,.6017
Joel Embiid,.6009
Kawhi Leonard,.6003
Steve Johnson,.6002
Mario Elie,.5982
Amar'e Stoudemire,.5966
Yao Ming*,.5960
Chris Mullin*,.5938
Kiki Vandeweghe,.5937
Steven Adams,.5926
Kareem Abdul-Jabbar*,.5924
Mark West,.5919
Danilo Gallinari,.5913
Bojan Bogdanović,.5910
Domantas Sabonis,.5909
JaVale McGee,.5908
Sidney Moncrief*,.5907
Brad Daugherty,.5900
Enes Freedom,.5900
Kelly Olynyk,.5890
Bill Cartwright,.5881
LeBron James,.5879
Buck Williams,.5872
Brad Davis,.5870
Larry Nance,.5864
Detlef Schrempf,.5858
Shaquille O'Neal*,.5858
Mark Price,.5855
Anthony Davis,.5855
Nenê,.5852
Hersey Hawkins,.5851
Kevin Martin,.5849
Kevin Johnson,.5848
Otis Thorpe,.5842
David Robinson*,.5830
Chris Paul,.5830
Alonzo Mourning*,.5827
Trae Young,.5826
Damian Lillard,.5826
Jeff Hornacek,.5822
Manu Ginóbili*,.5822
Eddy Curry,.5806
Ray Allen*,.5801
Chauncey Billups,.5799
Calvin Natt,.5795
Jim Eakins,.5795
Jimmy Butler,.5777
Peja Stojaković,.5773
Corey Maggette,.5772
Kyrie Irving,.5772
Dirk Nowitzki,.5768
Karl Malone*,.5768
David Lee,.5766
Mike Miller,.5763
James Silas,.5762
Jared Dudley,.5759
Terry Porter,.5755
Marcin Gortat,.5753
Zach LaVine,.5752
José Calderón,.5735
Isaiah Thomas,.5734
Dikembe Mutombo*,.5734
Klay Thompson,.5734
Ricky Pierce,.5728
Luka Dončić,.5727
Robin Lopez,.5727
Wally Szczerbiak,.5726
Khris Middleton,.5725
Kevin Love,.5722
Dana Barros,.5720
Devin Booker,.5720
Swen Nater,.5719
Mark Olberding,.5717
George Hill,.5717
Maurice Cheeks*,.5716
Serge Ibaka,.5715
Chris Bosh*,.5714
Robert Parish*,.5714
Andrei Kirilenko,.5713
Jayson Tatum,.5713
Kenny Smith,.5700
Moses Malone*,.5695
Jaylen Brown,.5693
Brook Lopez,.5691
Kyle Lowry,.5689
Michael Jordan*,.5686
Al Horford,.5683
Gordon Hayward,.5683
Danny Green,.5680
Paul Pierce*,.5679
Pascal Siakam,.5679
Frank Brickowski,.5678
David Thompson*,.5676
Eric Piatkowski,.5672
Darren Collison,.5671
Dale Ellis,.5671
Richard Jefferson,.5670
Jimmy Jones,.5669
Orlando Woolridge,.5668
Danny Schayes,.5664
Paul George,.5661
George Irvine,.5659
Fred Roberts,.5659
Billy Knight,.5657
Derrick Favors,.5655
Evan Fournier,.5653
Rich Kelley,.5652
Andrew Toney,.5648
Tobias Harris,.5647
Pau Gasol,.5645
